name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,target
Your Lullaby,Giolì & Assia,0.625,0.578,5,-10.344,0,0.043,0.0108,0.254,0.379,0.209,119.954,174001,4,1
I Won't Forget,Logic1000,0.726,0.928,8,-8.511,0,0.0478,0.0448,0.874,0.0755,0.322,127.031,273486,4,1
Lifetime - Jayda G Baleen Mix,Romy,0.761,0.68,10,-8.568,0,0.0409,0.132,0.301,0.137,0.616,126.994,194755,4,1
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,4,1
Your Love (9PM),ATB,0.669,0.784,7,-5.603,1,0.112,0.194,6.28E-06,0.115,0.517,125.993,150053,4,1
Love Again (feat. Alida),Alok,0.636,0.822,0,-4.321,0,0.0507,0.0534,1.99E-05,0.121,0.338,127.225,147402,4,1
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,0.722,0.893,0,-3.255,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,116750,4,1
Fireworks,Purple Disco Machine,0.752,0.792,1,-5.281,0,0.0427,0.00713,3.28E-06,0.158,0.785,118.023,200016,4,1
Problems,Don Diablo,0.721,0.768,3,-4.371,1,0.0685,0.21,0.00843,0.262,0.468,124.076,179032,4,1
Pressure (feat. Tove Lo),Martin Garrix,0.859,0.558,7,-8.991,0,0.0902,0.659,0.324,0.124,0.357,114.978,144391,4,1
What's Up,Gaullin,0.739,0.845,5,-5.93,0,0.0397,0.00155,0.0107,0.775,0.839,121.997,147541,4,1
Leave A Little Love,Alesso,0.671,0.855,7,-4.254,0,0.0375,0.00437,0,0.131,0.329,117.98,187029,4,1
Big (feat. Gunna),Rita Ora,0.779,0.845,7,-3.446,1,0.0356,0.0659,1.16E-06,0.0641,0.615,111.995,156781,4,1
HEAT,Paul Woolford,0.651,0.542,1,-7.345,0,0.0292,0.311,0,0.0812,0.581,122.03,187278,4,1
Amnesia (feat. GASHI),Loud Luxury,0.745,0.839,11,-6.654,0,0.0489,0.0454,3.09E-05,0.0882,0.226,124.021,193548,4,1
Rise Up (feat. Vamero),VINAI,0.648,0.926,1,-3.633,1,0.0488,0.011,0,0.162,0.359,126.037,182000,4,1
Everything,3LAU,0.574,0.955,10,-4.929,0,0.0385,0.00893,0.016,0.23,0.148,120.037,199000,4,1
One More (feat. Nile Rodgers),SG Lewis,0.722,0.784,5,-4.662,0,0.0819,0.00668,5.31E-06,0.467,0.768,119.988,196183,4,1
Wasted Love (feat. Lagique),Ofenbach,0.734,0.855,6,-4.578,0,0.135,0.0821,4.73E-06,0.0901,0.54,121.955,139563,4,1
Lost (with DJ Angelo feat. Jinadu),Black Coffee,0.659,0.568,10,-13.956,1,0.0307,0.0631,0.0713,0.0823,0.464,119.985,364952,4,1
Goosebumps - Remix,Travis Scott,0.841,0.593,1,-7.846,1,0.0379,0.418,0,0.124,0.808,124.917,162803,4,1
Miles To Go,Kaskade,0.775,0.735,5,-5.585,0,0.0369,0.0363,0.131,0.103,0.172,125.025,198203,4,1
Lies,MK,0.525,0.837,0,-4.012,0,0.0596,0.0198,4.78E-06,0.135,0.477,123.954,196189,4,1
Caution,KAYTRANADA,0.696,0.394,11,-13.825,0,0.539,0.0579,0.821,0.0899,0.747,216.053,155758,4,1
Goodbye,Imanbek,0.741,0.931,10,-3.447,0,0.0563,0.0225,0.000102,0.191,0.517,125.011,144000,4,1
That Feeling (feat. Hayley May),Danny Quest,0.665,0.846,2,-5.563,1,0.031,0.00559,0.007,0.134,0.78,123.988,134442,4,1
Never Look Back (feat. Syd Silvair),Oliver Heldens,0.615,0.938,7,-6.361,0,0.058,0.11,0.871,0.138,0.321,122.962,208308,4,1
Where The Lights Are Low,Toby Romeo,0.759,0.807,8,-5.812,0,0.122,0.448,0,0.105,0.62,123.904,136996,4,1
Fake A Smile,Alan Walker,0.447,0.553,0,-4.817,1,0.0322,0.212,0,0.165,0.252,149.877,168118,4,1
Take Your Time,ARTY,0.583,0.94,7,-3.05,1,0.0551,0.0476,0.000206,0.0524,0.378,127.009,186142,4,1
Look at the Sky,Porter Robinson,0.568,0.564,6,-8.231,1,0.0273,0.0105,0.000127,0.0766,0.385,115.059,309986,4,1
Morning,Karen Harding,0.682,0.919,6,-2.447,0,0.154,0.0789,1.11E-06,0.277,0.704,124.946,157927,4,1
Space Melody (Edward Artemyev) (feat. Leony),VIZE,0.898,0.759,7,-4.942,1,0.114,0.227,0.00102,0.104,0.24,127.966,180152,4,1
Too Much,Dimitri Vegas & Like Mike,0.747,0.832,7,-7.316,1,0.0413,0.0489,0.000182,0.161,0.335,126.001,125714,4,1
New Love (feat. Ellie Goulding),Silk City,0.786,0.732,7,-6.664,1,0.0421,0.0547,2.47E-06,0.342,0.631,123.982,190680,4,1
Pieces,VAVO,0.772,0.811,5,-5.764,1,0.0402,0.0516,0.00354,0.442,0.271,122.012,180984,4,1
Regardless,RAYE,0.749,0.82,7,-6.114,1,0.0478,0.0205,0.000685,0.0775,0.534,120.066,197573,4,1
Hearts on Fire,ILLENIUM,0.365,0.765,1,-4.449,1,0.0416,0.0088,2.06E-06,0.0959,0.241,179.955,236318,3,1
Mad World,Timmy Trumpet,0.54,0.892,11,-4.985,1,0.11,0.233,9.35E-05,0.195,0.152,106.594,153304,3,1
Summer 91 (Looking Back),Noizu,0.509,0.953,11,-4.954,0,0.0414,0.0159,3.30E-05,0.28,0.406,125.015,180000,4,1
Medium,Logic1000,0.799,0.908,4,-8.785,0,0.0618,0.000483,0.91,0.0932,0.189,130.006,254492,4,1
Disco Body Parts (feat. AWOLNATION),Yung Bae,0.718,0.879,9,-4.009,0,0.0691,0.0665,0.00104,0.53,0.651,123.017,174325,4,1
Everybody Wants To Party,Dubdogz,0.72,0.858,0,-5.657,1,0.0314,0.000307,0.692,0.0932,0.565,124.001,184839,4,1
Work It - Soulwax Remix,Marie Davidson,0.846,0.737,0,-8.611,1,0.0643,0.319,0.494,0.0701,0.848,125.018,286080,4,1
Feel The Energy,Bexxie,0.794,0.957,7,-4.404,1,0.0417,0.00255,0.701,0.0477,0.354,123.981,211452,4,1
Want You To Want Me,Alex Mills,0.708,0.888,5,-4.081,0,0.0308,0.00569,0.151,0.124,0.807,124.017,187815,4,1
I Just Wanna Dance,Coldabank,0.741,0.914,5,-5.589,1,0.133,0.0247,0.0195,0.22,0.15,124.984,154905,4,1
Grateful,Laxcity,0.721,0.876,1,-4.239,1,0.0905,0.494,0.289,0.452,0.55,144.058,238333,4,1
Musician,Porter Robinson,0.617,0.737,1,-5.224,1,0.0321,0.0119,0,0.0571,0.522,120.033,238871,4,1
I Don't Wanna Go,Tujamo,0.641,0.895,1,-3.76,0,0.168,0.0256,0.000299,0.292,0.397,125.031,186480,4,1
All We Have (feat. Lastlings),SG Lewis,0.716,0.682,6,-6.871,0,0.0372,0.00163,0.305,0.0625,0.15,120.011,410080,4,1
Underwater - Dombresky Remix,Anabel Englund,0.67,0.88,10,-5.999,1,0.0356,0.021,2.16E-05,0.319,0.873,123.968,161500,4,1
Say Something (Club Mix),Jay Pryor,0.623,0.899,1,-6.136,1,0.0389,0.0182,0.288,0.148,0.2,123.001,218780,4,1
What If,SKIY,0.708,0.799,9,-4.973,0,0.103,0.000207,0.00812,0.287,0.146,121.969,211334,4,1
Sugar (feat. Domino),Benny Benassi,0.674,0.749,5,-6.789,0,0.0369,0.153,4.54E-06,0.0963,0.272,120.967,152062,4,1
One More Time (feat. Alida),Robin Schulz,0.5,0.701,0,-6.261,0,0.0499,0.0302,8.97E-06,0.307,0.159,123.985,199358,4,1
Something Stupid (feat. AWA),Jonas Blue,0.705,0.864,0,-5.13,0,0.0344,0.276,0.00037,0.0872,0.626,120.012,176734,4,1
A Moment Apart,ODESZA,0.515,0.663,7,-7.896,0,0.0328,0.179,0.668,0.494,0.0756,120.024,234244,4,1
Breathe (feat. kaspara),Syn Cole,0.753,0.749,6,-5.214,1,0.0314,0.0546,4.39E-06,0.166,0.589,121.988,175082,4,1
Sleepless,D.O.D,0.453,0.717,6,-5.362,0,0.0468,0.0335,0.871,0.151,0.644,126.053,185731,4,1
Magic Carpet,Kyle Watson,0.794,0.684,1,-7.594,1,0.0668,0.00634,0.298,0.0881,0.542,123.024,168171,4,1
The Step (with Nabiha),Punctual,0.796,0.698,11,-7.617,0,0.0675,0.0226,0.000454,0.081,0.64,124.991,182987,4,1
Poison,SNBRN,0.832,0.669,9,-6.195,0,0.0389,0.00296,0.273,0.063,0.514,124.042,204160,4,1
Sun Goes Down,Cloonee,0.771,0.939,7,-5.145,1,0.158,0.0339,0.000157,0.149,0.635,126.036,154524,4,1
Sorry,Alan Walker,0.548,0.556,5,-7.048,0,0.0413,0.433,0.0577,0.123,0.169,87.753,165000,4,1
My Feelings,Serhat Durmus,0.612,0.542,1,-6.916,0,0.0632,0.381,0.000565,0.0977,0.0745,129.773,207692,4,1
Pull Me Closer,Dimitri Vegas,0.734,0.672,11,-8.375,0,0.0531,0.135,0.0126,0.111,0.245,117.987,164746,4,1
Never Be Lonely,Gigi D'Agostino,0.726,0.774,8,-6.156,1,0.0254,0.101,0.0252,0.124,0.359,124.95,165575,4,1
On The Beach - Kryder Remix,York,0.565,0.899,1,-6.016,1,0.0324,0.00576,0.795,0.162,0.111,123.988,173842,4,1
Around The World (feat. NOUMENN),KSHMR,0.582,0.863,5,-4.067,1,0.0356,0.0334,1.42E-05,0.371,0.333,112.073,199018,4,1
Don't Speak,Dark Heart,0.687,0.662,7,-6.285,0,0.0505,0.207,5.95E-05,0.0819,0.799,122.05,165246,4,1
No More Looking Back (feat. Steffanie Christi'an),Idris Elba,0.743,0.784,6,-7.29,1,0.0542,0.000307,0.000135,0.162,0.63,123.018,203069,4,1
Play In The Dark,Seth Troxler,0.69,0.782,11,-9.811,1,0.0561,0.00111,0.819,0.12,0.364,129.013,295832,4,1
Ringtone,R3HAB,0.839,0.876,0,-7.399,1,0.0519,0.0178,0.498,0.0738,0.749,123.979,144194,4,1
IQ Doesn't Matter,Lika Morgan,0.9,0.744,0,-3.808,0,0.192,0.128,0,0.132,0.795,117.94,147585,4,1
Naked,Lucas Estrada,0.719,0.837,2,-4.571,0,0.0349,0.0517,0.000509,0.108,0.251,123.989,196524,4,1
Strangers,Coopex,0.749,0.702,6,-4.898,0,0.135,0.0593,0.00295,0.179,0.232,122.012,180545,4,1
All For You,KOLIDESCOPES,0.692,0.872,0,-6.051,1,0.0928,0.368,0.00482,0.628,0.406,121.997,198368,4,1
Anything - Malaa Remix,Alison Wonderland,0.871,0.677,1,-6.185,1,0.0782,0.0183,0.752,0.263,0.161,123.977,253548,4,1
Who Are You? - Chris Lake Remix,Miane,0.786,0.87,2,-5.839,1,0.0507,0.0493,0.215,0.0863,0.676,126.011,192482,4,1
Places,Drove,0.796,0.675,1,-8.066,1,0.0397,0.0126,0.181,0.0779,0.114,120.032,185586,4,1
In A Dream,Ali Bakgor,0.656,0.955,1,-5.338,1,0.0358,0.219,0.87,0.221,0.339,124.017,222545,4,1
Pusher,Honeydripper,0.881,0.705,11,-10.032,0,0.0389,0.347,0.891,0.103,0.96,125.988,362918,4,1
Breakdown,JVNA,0.437,0.805,2,-3.925,0,0.0386,0.000986,0.000126,0.177,0.174,149.92,198600,4,1
Lost,Giolì & Assia,0.674,0.658,10,-9.239,0,0.0338,0.178,0.07,0.12,0.181,123.939,219203,4,1
Make Amends (feat. Kyan Palmer),Curbi,0.826,0.846,0,-6.418,1,0.0682,0.0179,0.146,0.17,0.52,124.012,160430,4,1
Forever Love (feat. Viiq),Bingo Players,0.668,0.9,6,-4.228,0,0.0429,0.0953,1.06E-05,0.368,0.709,124.045,155827,4,1
Drop It,Blinded Hearts,0.704,0.834,7,-5.837,0,0.0799,0.0415,1.12E-05,0.186,0.698,124.008,158969,4,1
Golden (feat. Blondfire),Sander van Doorn,0.605,0.772,6,-5.971,1,0.0657,0.0687,0.0227,0.151,0.61,121.994,209016,4,1
Deep End,William Black,0.63,0.706,5,-5.989,1,0.0289,0.0991,0,0.119,0.215,114.028,208421,4,1
Silver Lining,Andrew Rayel,0.633,0.844,5,-3.815,0,0.0461,0.0451,0,0.097,0.637,125.032,177746,4,1
Should Have Seen It Coming,Franky Wah,0.4,0.87,3,-5.749,0,0.0439,0.228,0.0105,0.319,0.0582,119.991,238073,4,1
You,Martin Ikin,0.665,0.936,0,-5.991,1,0.0435,0.0419,0.00996,0.0878,0.517,123.994,228750,4,1
Good,MistaJam,0.611,0.923,7,-4.777,0,0.0822,0.0741,0.000109,0.11,0.644,124.024,178234,4,1
Wild Youngster (feat. ScHoolboy Q) - Jamie Jones' Wobble Remix,NEZ,0.754,0.754,2,-8.416,1,0.0361,0.00271,0.755,0.251,0.524,126.98,192748,4,1
Dancing Alone,Marc Benjamin,0.696,0.795,10,-3.656,0,0.0445,0.0285,0.00129,0.106,0.392,126.015,148571,4,1
Cross Your Mind,David Solomon,0.708,0.772,5,-3.863,1,0.0345,0.0192,7.13E-05,0.145,0.848,123.986,180993,4,1
And Groove - Edit,India Jordan,0.675,0.915,8,-5.889,1,0.0378,0.462,0.771,0.208,0.753,135.025,205785,4,1
Bussifame,Dawn Richard,0.755,0.872,7,-7.821,0,0.117,0.18,0.00286,0.34,0.685,119.997,273387,4,1
Ke Star (feat. Vigro Deep),Focalistic,0.883,0.54,10,-8.794,0,0.0644,0.000955,0.0619,0.0528,0.236,112.017,433136,4,1
TEA,COBRAH,0.802,0.614,10,-9.428,1,0.0615,0.511,0.201,0.157,0.778,118.994,167800,4,1
Shackles (Praise You),MALARKEY,0.657,0.816,0,-4.819,0,0.168,0.101,0,0.137,0.584,120.092,140018,4,1
Arguru 2k19,deadmau5,0.702,0.603,2,-7.532,1,0.0519,0.0253,0.802,0.118,0.284,128,435000,4,1
Animal Kingdom,AmyElle,0.615,0.995,0,-5.812,1,0.0445,0.00339,0.865,0.143,0.92,127.013,190896,4,1
CONFIDENT,JOHN BALAYA,0.807,0.555,0,-6.624,1,0.0521,0.00226,0.55,0.0436,0.214,124.01,144677,4,1
Into The Unknown,Don Diablo,0.601,0.743,7,-6.545,0,0.039,0.135,0.0254,0.117,0.134,115.965,199384,4,1
DANCING IN THE MOONLIGHT,NICOLAS,0.731,0.719,10,-9.163,0,0.0498,0.0222,0.452,0.104,0.134,119.984,226000,4,1
Somebody,GATTÜSO,0.666,0.898,7,-5.257,0,0.0417,0.000496,6.62E-05,0.0638,0.252,124.972,190161,4,1
Nah Follow Dem,Dom 877,0.613,0.898,7,-4.531,1,0.197,0.455,0.00588,0.634,0.789,129.973,183692,4,1
Take Me Back,SACHI,0.713,0.809,0,-4.695,0,0.195,0.0681,0.000414,0.087,0.398,120.166,189574,4,1
Runaway,James Carter,0.726,0.792,10,-6.5,0,0.05,0.0698,0.000134,0.0849,0.765,122.115,153671,4,1
Baby Who,Michael Brun,0.783,0.71,6,-5.948,0,0.045,0.0111,0.0244,0.176,0.414,109.971,187659,4,1
Good 4 Me,Vindata,0.754,0.804,10,-3.02,0,0.0404,0.061,0.3,0.105,0.748,94.99,204632,4,1
Moment,Robin M,0.736,0.531,6,-6.542,1,0.0826,0.109,0.000926,0.107,0.753,122.957,129445,4,1
Echo,Yves V,0.676,0.656,1,-7.41,1,0.09,0.0298,0,0.192,0.415,128.256,180561,4,1
Move Your Body,LP Giobbi,0.654,0.973,2,-4.01,0,0.102,0.0477,0.049,0.328,0.392,123.968,201290,4,1
Without You,TCTS,0.503,0.876,4,-5.094,1,0.215,0.00245,0.178,0.357,0.466,123.813,169355,4,1
Bloodstream,Paradigm,0.65,0.756,2,-4.789,0,0.309,0.0538,0.000345,0.372,0.445,126.157,148715,4,1
Kids on Whizz,Alok,0.713,0.794,7,-5.693,1,0.177,0.038,1.02E-05,0.117,0.304,116.033,171724,4,1
Walk Away,Duke & Jones,0.572,0.776,9,-5.236,1,0.044,0.011,0.00211,0.0879,0.262,149.97,189200,4,1
Alive (feat. Poppy Baskcomb),Dimension,0.393,0.989,2,-0.424,1,0.0706,0.0718,1.52E-05,0.328,0.186,173.972,248276,4,1
tell me what you’re thinking,Aviella,0.668,0.603,1,-7.201,0,0.103,0.0766,0.0368,0.54,0.525,126.016,173810,4,1
Rewind,Anden,0.728,0.938,7,-7.919,1,0.0406,0.00558,0.622,0.0926,0.0651,123.998,213318,4,1
Invisible Dress - Maro Music x Skytech Remix - Short Edit,sanah,0.721,0.871,1,-5.831,1,0.242,0.469,1.37E-05,0.133,0.731,120.148,147000,4,1
Let Me In Closer,Colorblast,0.721,0.774,11,-6.566,0,0.0433,0.0334,4.81E-05,0.322,0.516,124.987,176306,4,1
Drop It (feat. LUISAH),Dubdogz,0.65,0.771,8,-7.696,0,0.0558,0.0396,1.64E-05,0.175,0.769,124.987,125760,4,1
Overdose,Mike Candys,0.771,0.888,8,-4.447,1,0.0963,0.0445,0.00431,0.0976,0.619,101.285,140887,3,1
Anywhere,Adventure Club,0.42,0.847,2,-2.756,1,0.0405,0.062,5.19E-05,0.147,0.163,130.144,199459,4,1
Rumor,Moore Kismet,0.633,0.644,10,-4.579,0,0.113,0.191,0.000762,0.137,0.48,127.95,278809,4,1
Meant To Be,Matisse & Sadko,0.463,0.742,0,-5.579,1,0.0603,0.0318,7.08E-06,0.0989,0.42,125.023,186795,4,1
find your way,San Holo,0.42,0.598,1,-7.962,1,0.0569,0.295,0,0.125,0.394,77.347,224687,4,1
The Last Time,Excision,0.434,0.836,10,-1.232,1,0.0418,0.0983,0,0.461,0.21,145.105,172102,4,1
Whisper (with James Yuill),Dennis Ferrer,0.739,0.79,10,-6.976,1,0.0336,0.000584,0.109,0.0723,0.392,126.007,160020,4,1
Generation X,Carly Wilford,0.79,0.968,7,-5.749,1,0.084,0.00108,0.0485,0.0237,0.641,126.009,219048,4,1
Black Magic,Jonasu,0.812,0.634,8,-4.96,1,0.163,0.0564,0,0.276,0.463,124.074,174194,4,1
Coffee & A Coke (feat. Hannah Boleyn),PBH & JACK,0.704,0.862,8,-5.98,1,0.0397,0.00186,0.00171,0.068,0.493,122.004,147322,4,1
Down Low,Dombresky,0.675,0.805,4,-6.55,0,0.0346,0.0765,0.000974,0.182,0.762,122.017,161048,4,1
Hometown Heroes,Danny Avila,0.639,0.693,6,-5.132,0,0.0511,0.0127,5.92E-06,0.487,0.398,126.053,190000,4,1
"Oh, Miles",Lane 8,0.641,0.726,2,-6.921,1,0.0381,0.176,0.794,0.0972,0.0416,124.012,333871,4,1
do you,Dot,0.826,0.317,11,-11.078,0,0.27,0.138,0.304,0.382,0.293,116.017,148416,3,1
How Long Have You Been Away?,kryptogram,0.806,0.753,11,-6.247,0,0.0534,0.031,0.5,0.0545,0.846,122.99,208568,4,1
Anybody Else,Gil Everest,0.733,0.881,4,-4.856,0,0.0457,0.00793,0.0146,0.198,0.797,124.009,147097,4,1
Close to You (feat. PollyAnna),Brennan Heart,0.572,0.904,0,-3.819,1,0.0466,0.0168,0.00222,0.309,0.38,150.056,190400,4,1
Revival,chromonicci,0.512,0.677,9,-9.923,0,0.4,0.0608,0.0136,0.0942,0.102,149.955,243201,4,1
Oh Baby Oh Baby,Borgeous,0.601,0.859,8,-5.887,1,0.132,0.594,0.413,0.0865,0.357,124.981,184320,4,1
Got Em,Rochelle Jordan,0.759,0.698,9,-7.803,0,0.0604,0.00298,0.164,0.0887,0.436,126.988,226262,4,1
The Way That I Do,Laxcity,0.399,0.6,0,-7.306,1,0.058,0.387,0,0.164,0.324,139.469,246960,4,1
B2B,Karen Nyame KG,0.678,0.868,8,-7.694,1,0.0362,0.00131,0.779,0.335,0.152,124.01,224542,4,1
Work!,Chris Lake,0.776,0.942,0,-4.582,0,0.0559,0.000255,0.76,0.118,0.27,123.944,180091,4,1
Whole Lotta Love - 1990 Remaster,Led Zeppelin,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,333893,4,1
All Along the Watchtower,Jimi Hendrix,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69E-05,0.0842,0.564,113.253,240800,4,1
Back In Black,AC/DC,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,4,1
"Paint It, Black - Mono",The Rolling Stones,0.505,0.836,5,-7.384,0,0.101,0.0103,0.0771,0.295,0.764,159.669,204480,4,1
Rebel Rebel - 1999 Remaster,David Bowie,0.676,0.92,9,-7.96,1,0.0435,0.00101,8.65E-06,0.248,0.624,126.341,269360,4,1
Come Together - Remastered 2009,The Beatles,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,259947,4,1
Should I Stay or Should I Go - Remastered,The Clash,0.742,0.833,2,-6.463,1,0.115,0.079,0,0.384,0.816,113.375,188987,4,1
Baba O'Riley,The Who,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,300400,4,1
Sweet Emotion,Aerosmith,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,274133,4,1
Another One Bites The Dust - Remastered 2011,Queen,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,214653,4,1
Light My Fire,The Doors,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16E-05,0.0905,0.44,124.618,429760,4,1
La Grange - 2005 Remaster,ZZ Top,0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,230480,4,1
American Girl,Tom Petty and the Heartbreakers,0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,214733,4,1
Paradise City,Guns N' Roses,0.273,0.952,11,-8.762,1,0.0843,0.0169,0.0111,0.142,0.472,100.271,405640,4,1
House Of The Rising Sun,The Animals,0.315,0.534,9,-7.552,0,0.031,0.000825,0.108,0.101,0.283,116.891,269720,3,1
Like a Rolling Stone,Bob Dylan,0.483,0.721,0,-6.836,1,0.032,0.729,0,0.189,0.562,95.261,369600,4,1
Sunshine Of Your Love,Cream,0.683,0.594,2,-8.289,1,0.0347,0.385,8.61E-05,0.121,0.734,115.099,250400,4,1
Sweet Home Alabama,Lynyrd Skynyrd,0.597,0.605,7,-12.013,1,0.0255,0.181,0.000331,0.118,0.886,97.782,281147,4,1
Fortunate Son,Creedence Clearwater Revival,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,4,1
"Another Brick in the Wall, Pt. 2",Pink Floyd,0.694,0.394,0,-15.881,1,0.0428,0.0781,0.000677,0.247,0.719,104.126,238747,4,1
The Chain,Fleetwood Mac,0.546,0.529,9,-13.6,1,0.0436,0.0629,0.000567,0.0383,0.574,151.727,271000,4,1
Me and Bobby McGee,Janis Joplin,0.43,0.463,2,-10.96,1,0.0442,0.303,5.84E-05,0.152,0.66,93.405,271333,4,1
Hotel California - 2013 Remaster,Eagles,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376,4,1
The Joker,Steve Miller Band,0.596,0.448,5,-9.616,1,0.0396,0.365,5.30E-06,0.206,0.796,83.293,264504,4,1
Born To Be Wild,Steppenwolf,0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928,210373,4,1
For What It's Worth,Buffalo Springfield,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,153693,4,1
More Than a Feeling,Boston,0.377,0.682,7,-8.039,1,0.0299,0.000894,0.00217,0.0504,0.288,108.736,285133,4,1
Sultans of Swing,Dire Straits,0.73,0.868,5,-7.325,1,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400,4,1
Somebody to Love,Jefferson Airplane,0.504,0.578,4,-9.302,1,0.031,0.408,0,0.321,0.654,132.411,174840,4,1
Walk On the Wild Side,Lou Reed,0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,254173,4,1
Rock And Roll All Nite,KISS,0.654,0.929,1,-5.906,1,0.0998,0.0468,0,0.0539,0.902,144.774,168840,4,1
Tom Sawyer,Rush,0.536,0.901,9,-7.211,1,0.0374,0.00145,0.0186,0.06,0.666,87.559,276880,4,1
Under Pressure - Remastered 2011,Queen,0.663,0.712,2,-7.268,1,0.0479,0.524,0,0.0804,0.527,113.439,236520,4,1
When Doves Cry,Prince,0.729,0.989,9,-4.613,0,0.049,0.0102,4.45E-05,0.443,0.84,126.47,352906,4,1
